Date,AED,AFN,ALL,AMD,ANG,AOA,ARS,AUD,AWG,AZN,BAM,BBD,BDT,BGN,BHD,BIF,BMD,BND,BOB,BRL,BSD,BTC,BTN,BWP,BYN,BYR,BZD,CAD,CDF,CHF,CLF,CLP,CNY,COP,CRC,CUC,CUP,CVE,CZK,DJF,DKK,DOP,DZD,EGP,ERN,ETB,EUR,FJD,FKP,GBP,GEL,GGP,GHS,GIP,GMD,GNF,GTQ,GYD,HKD,HNL,HRK,HTG,HUF,IDR,ILS,IMP,INR,IQD,IRR,ISK,JEP,JMD,JOD,JPY,KES,KGS,KHR,KMF,KPW,KRW,KWD,KYD,KZT,LAK,LBP,LKR,LRD,LSL,LTL,LVL,LYD,MAD,MDL,MGA,MKD,MMK,MNT,MOP,MUR,MVR,MWK,MXN,MYR,MZN,NAD,NGN,NIO,NOK,NPR,NZD,OMR,PAB,PEN,PGK,PHP,PKR,PLN,PYG,QAR,RON,RSD,RUB,RWF,SAR,SBD,SCR,SDG,SEK,SGD,SHP,SLL,SOS,SRD,STD,SVC,SYP,SZL,THB,TJS,TMT,TND,TOP,TRY,TTD,TWD,TZS,UAH,UGX,USD,UYU,UZS,VEF,VND,VUV,WST,XAF,XAG,XAU,XCD,XDR,XOF,XPF,YER,ZAR,ZMK,ZMW,ZWL
1/1/23,3.672635,87.49408,107.150283,393.731324,1.802385,503.690999,176.728445,1.46638,1.8,1.700045,1.832031,2.019174,103.159191,1.827155,0.37658,2062,1,1.34029,6.910305,5.286699,1.000033,6.02E-05,82.580068,12.755638,2.524225,19600,2.01584,1.353395,2029.99989,0.92395,0.03075,848.250029,6.897897,4848.67,591.730443,1,26.5,103.298862,22.52401,177.719972,6.949525,56.25032,137.17938,24.752919,15,53.649762,0.934185,2.222498,0.826337,0.826446,2.703721,0.826337,10.149612,0.826337,61.94977,8769.999776,7.84819,209.232614,7.801749,24.70015,7.0422,148.006913,373.36698,15538.5,3.527898,0.826337,82.75005,1460.5,41850.00021,141.549885,0.826337,151.711896,0.709301,130.919826,123.499621,85.679943,4118.497201,460.224984,899.999994,1261.909645,0.30635,0.833419,462.857143,17340.00007,1522.503496,367.529437,154.504446,17.010251,2.95274,0.60489,4.825011,10.43875,19.160087,4479.999951,57.712212,2100.167396,3448.169317,8.027877,43.950024,15.401869,1024.466171,19.496875,4.40501,63.82954,17.010149,448.080051,36.400356,9.788197,132.128371,1.573642,0.384958,1.000066,3.803975,3.519421,55.680156,226.550018,4.373947,7364.289528,3.64075,4.63494,109.58009,73.750269,1070,3.760901,8.278288,13.405775,571.492933,10.42379,1.338976,1.377398,18825.00052,569.500523,31.809031,20697.98101,8.751124,2512.527043,17.00989,34.611502,10.19597,3.5,3.1085,2.34125,18.691295,6.796026,30.662802,2331.999749,36.751623,3720.217883,1,39.967963,11254.99975,1724674.38,23635,117.236648,2.696122,614.462357,0.041736,0.000548,2.70255,0.751548,615.508119,111.950194,250.302768,16.989425,9001.196938,18.11118,321.999592
1/2/23,3.672701,89.221279,106.958829,393.605122,1.802397,503.633097,178.152538,1.469443,1.8,1.699941,1.830693,2.019273,106.462486,1.827098,0.377054,2072.850317,1,1.34162,6.910718,5.363878,1.000136,6.01E-05,82.78218,12.756528,2.524348,19600,2.015903,1.35615,2029.999744,0.924198,0.030741,848.249658,6.898601,4848,591.741509,1,26.5,103.210075,22.630299,177.719648,6.96559,56.275302,137.438641,24.715597,15,53.604279,0.93656,2.19595,0.826559,0.82904,2.697209,0.826559,9.990967,0.826559,61.950299,8620.355593,7.848234,209.237566,7.80575,24.678127,7.042197,148.014471,376.149978,15554,3.5078,0.826559,82.70625,1459.683345,41850.00034,142.079929,0.826559,151.020026,0.709901,130.799498,123.409547,85.679898,4120.523993,460.225024,900,1270.105023,0.30592,0.833431,462.851767,17346.66848,1512.137819,365.542831,154.496786,17.009578,2.95274,0.60489,4.828358,10.450084,19.131843,4466.193353,57.746017,2100.245897,3448.185558,8.039894,44.000618,15.402199,1023.600769,19.46515,4.404939,63.829854,17.010286,448.079683,36.513144,9.84996,132.451899,1.580865,0.385008,1.000136,3.804353,3.523988,55.814969,226.722297,4.375337,7364.406026,3.64075,4.616904,109.880199,77.999839,1068.717795,3.758893,8.278288,12.911657,571.458728,10.448665,1.341699,1.377404,18824.99999,569.503431,31.622497,20697.98101,8.750837,2512.531208,17.022993,34.497777,10.130996,3.5,3.108501,2.341801,18.745299,6.794839,30.735099,2332.000437,36.755105,3726.383084,1,39.63851,11247.91853,1724101.3,23635,117.236645,2.696122,613.999354,0.041508,0.000547,2.70255,0.748735,613.98786,111.950325,250.296031,17.00694,9001.200947,18.076763,321.999592
1/3/23,3.673019,87.499217,107.15025,394.690217,1.802414,503.6089,178.380111,1.486768,1.8025,1.691543,1.857653,2.019206,103.408803,1.852831,0.377042,2062,1,1.345947,6.910305,5.480118,1,6.00E-05,82.933569,12.870631,2.524149,19600,2.015767,1.36752,2026.999753,0.936013,0.031271,862.849697,6.915099,4862.01,591.698328,1,26.5,103.281732,22.837974,177.719754,7.051635,56.293137,137.637407,24.77564,15,53.649538,0.94818,2.210497,0.83007,0.835515,2.684969,0.83007,10.149856,0.83007,62.000352,8774.999703,7.847814,209.22998,7.81345,24.685027,7.042204,148.01024,379.519867,15594.3,3.533003,0.83007,82.78595,1460.5,41900.0002,143.840197,0.83007,151.011123,0.7099,131.253499,123.550231,85.679797,4117.999882,466.350468,899.974279,1279.405027,0.30637,0.833302,462.800969,17329.9997,1521.999918,365.520933,154.500874,17.00029,2.95274,0.604891,4.805021,10.502501,19.1695,4486.000223,58.41364,2100.119874,3444.612916,8.048215,43.996699,15.409777,1023.507104,19.41275,4.406047,63.829927,16.999645,448.550301,36.409931,10.09363,132.690271,1.60093,0.385,1,3.815006,3.52502,56.0502,226.975029,4.430857,7331.566599,3.64125,4.676901,111.235004,73.050191,1071,3.759628,8.264824,14.231101,573.000298,10.572065,1.345415,1.377399,18974.99976,568.494164,31.605499,20697.98101,8.749501,2512.489789,16.999902,34.390374,10.199839,3.51,3.125501,2.34345,18.751605,6.794422,30.6653,2332.000232,36.750914,3728.926248,1,39.637902,11260.00014,1745020.232,23535,118.173913,2.701923,623.05946,0.041713,0.000544,2.70255,0.748765,617.000291,113.534976,250.294738,17.026995,9001.195264,18.109702,321.999592
1/4/23,3.673017,87.501199,107.150009,394.489489,1.802764,503.685099,178.571563,1.4643,1.8,1.70389,1.844862,2.019714,103.679291,1.842718,0.377012,2062,1,1.33981,6.911946,5.431601,1.00033,5.94E-05,82.809036,12.726312,2.525303,19600,2.016224,1.348125,2026.999821,0.929445,0.031001,855.410305,6.888801,4930.63,591.265387,1,26.5,104.459678,22.604601,177.720657,7.01028,56.310259,137.137984,26.451798,15,53.650323,0.94265,2.197402,0.835455,0.82931,2.685032,0.835455,10.306681,0.835455,62.049743,8780.00042,7.849738,209.272273,7.815745,24.685025,7.042196,147.541386,373.029917,15563.5,3.52645,0.835455,82.66675,1460.5,41850.00024,142.990199,0.835455,151.047493,0.709901,132.199395,123.549941,85.680292,4116.49889,464.498893,900.084143,1271.404973,0.30646,0.833656,465.769964,17334.99987,1522.508216,365.603547,154.550267,16.889871,2.95274,0.60489,4.805026,10.442501,19.185398,4485.999744,58.078868,2100.594444,3441.162234,8.055464,43.695657,15.409756,1023.497023,19.390202,4.406018,63.829992,16.89016,449.009855,36.409569,10.091804,132.494458,1.59103,0.385014,1.00033,3.815048,3.524977,56.054987,226.974987,4.399326,7298.589822,3.640996,4.648702,110.60952,72.499436,1071,3.760759,8.264824,12.988053,572.495518,10.505497,1.341435,1.377401,18974.99995,569.499969,31.605503,20697.98101,8.752535,2512.074751,16.889997,33.899502,10.192705,3.51,3.125501,2.353903,18.746896,6.787436,30.69702,2331.999751,36.761873,3730.970213,1,39.82644,11259.99972,1752144.27,23525,118.125928,2.702038,618.739801,0.041998,0.000539,2.70255,0.752252,617.000198,113.534982,250.294061,16.885403,9001.200765,18.185162,321.999592
1/5/23,3.672995,88.502283,111.320136,394.779769,1.803181,503.685103,178.90948,1.480297,1.8025,1.691881,1.844131,2.020293,103.711621,1.859003,0.37703,2062,1,1.340324,6.914068,5.351303,1.000575,5.94E-05,82.747598,12.795036,2.52534,19600,2.016736,1.356135,2026.999649,0.93605,0.030876,851.949988,6.882502,4965.18,591.396177,1,26.5,105.250003,22.861703,177.720142,7.06826,56.501083,137.816963,27.198601,15,53.6796,0.950397,2.210497,0.829382,0.839571,2.702109,0.829382,10.249824,0.829382,62.096685,8785.00031,7.851533,209.447386,7.81175,24.689442,7.042201,147.57536,376.569599,15627.5,3.551706,0.829382,82.64545,1460.5,41900.00064,144.739676,0.829382,152.04315,0.7093,133.30997,123.601305,85.680299,4116.999827,468.050239,899.936256,1274.505013,0.30673,0.833856,465.279415,17255.00047,1521.999844,365.705153,154.480604,17.149991,2.95274,0.604889,4.805032,10.442501,19.225935,4495.000141,58.560763,2101.17839,3446.829672,8.046995,43.699747,15.409493,1023.498196,19.325885,4.388021,63.829669,17.149937,449.530195,36.379799,10.256035,132.393224,1.605125,0.384995,1.000495,3.80375,3.519653,55.92701,227.124998,4.449334,7321.628935,3.641027,4.686297,111.514992,72.150276,1070,3.758523,8.264739,13.478385,573.498972,10.686525,1.345665,1.3774,18975.00019,569.494249,31.605638,20697.98101,8.755345,2512.464106,17.149698,34.049852,10.209785,3.5,3.1255,2.34345,18.7716,6.78526,30.627994,2332.00024,36.772733,3731.808389,1,39.765409,11304.99955,1782147.773,23485,118.952592,2.719417,618.541429,0.043061,0.000546,2.70255,0.749748,618.498214,113.534967,250.296279,17.165902,9001.198714,18.214176,321.999592
1/6/23,3.672804,88.503991,110.850403,396.368041,1.803832,503.864804,178.947438,1.453277,1.8025,1.70397,1.865351,2.020877,103.89459,1.838592,0.377004,2062,1,1.349172,6.916133,5.225804,1.000854,5.90E-05,82.683243,12.898454,2.526395,19600,2.017444,1.34485,2027.000362,0.927904,0.030492,841.380396,6.838504,4912,591.108292,1,26.5,104.32504,22.568104,177.720394,6.98804,56.550393,137.31404,27.154311,15,53.903876,0.93775,2.18775,0.840431,0.826925,2.703863,0.840431,10.35039,0.840431,62.12039,8775.000355,7.854421,209.515362,7.80745,24.670389,7.042204,148.134442,370.570388,15607.2,3.50699,0.840431,82.273604,1460.5,41850.00035,143.660386,0.840431,152.577113,0.709304,132.08504,123.650385,85.680385,4120.000351,462.950384,899.979259,1253.880384,0.30614,0.834057,464.767173,17180.00035,1515.692539,365.833015,154.550382,17.130382,2.95274,0.60489,4.820381,10.336039,19.247482,4500.000347,58.76182,2101.933007,3454.883096,8.052496,43.75091,15.410378,1024.000345,19.13525,4.403504,63.830377,17.130377,450.050377,36.380377,9.990304,132.291508,1.574308,0.385039,1.000854,3.790375,3.525039,55.243039,227.250375,4.19145,7330.325805,3.641038,4.629704,110.240373,72.50369,1072,3.758508,8.298898,14.28893,573.00034,10.52261,1.336404,1.377404,18910.00034,569.503664,31.557504,20697.98101,8.757231,2512.06293,17.13037,33.760369,10.22904,3.51,3.124504,2.35285,18.754404,6.793291,30.576604,2337.000335,36.778479,3713.180771,1,39.911871,11325.00033,1790448.638,23470,117.921849,2.719335,625.638556,0.041959,0.000536,2.70255,0.750618,623.503597,112.570364,250.303593,17.10772,9001.203589,18.250781,321.999592
1/8/23,3.672825,88.499162,110.849833,396.368041,1.803832,503.864797,179.075907,1.450635,1.8025,1.702673,1.865351,2.020877,103.89459,1.838592,0.377004,2062,1,1.349172,6.916133,5.225898,1.000854,5.84E-05,82.683243,12.898454,2.526395,19600,2.017444,1.343585,2027.000293,0.926935,0.030492,841.379603,6.838398,4860,591.108292,1,26.5,104.32495,22.533503,177.720247,6.97972,56.550468,137.313954,27.173041,15,53.900135,0.93844,2.18775,0.826886,0.825395,2.713532,0.826886,10.350103,0.826886,62.120296,8775.000246,7.854421,209.515362,7.807945,24.670098,7.042199,148.134442,371.469499,15607.3,3.507902,0.826886,82.273649,1460.5,41850.00007,143.659801,0.826886,152.577113,0.7093,131.8675,123.650093,85.679578,4119.999857,462.950108,899.999924,1253.879915,0.30614,0.834057,464.767173,17180.0002,1515.692539,365.833015,154.550197,17.130119,2.95274,0.60489,4.819925,10.335973,19.247482,4499.999564,58.76182,2101.933007,3458.388184,8.052496,43.750184,15.410104,1023.999747,19.1268,4.4035,63.829641,17.129668,450.050123,36.380319,10.00595,132.291508,1.572735,0.385028,1.000854,3.789668,3.52497,55.521991,227.249817,4.406698,7330.325805,3.64101,4.64855,110.240164,72.503806,1072,3.759024,8.298898,14.28893,572.999459,10.51894,1.333865,1.377398,18910.00016,569.500874,31.557502,20697.98101,8.757231,2512.527375,17.129862,33.6475,10.22904,3.51,3.124503,2.35285,18.77595,6.793291,30.576501,2337.0002,36.778479,3713.180771,1,39.911871,11324.99982,1835385.004,23470,117.922276,2.710014,625.638556,0.04166,0.000535,2.70255,0.750618,623.439783,112.570224,250.296392,17.125051,9001.198126,18.250781,321.999592
1/9/23,3.673008,87.999532,110.849895,394.929818,1.801866,503.789598,180.118407,1.446815,1.8,1.698022,1.830093,2.018649,104.677496,1.823135,0.376989,2062,1,1.332778,6.908397,5.255105,0.999733,5.82E-05,82.356668,12.768675,2.523989,19600,2.01528,1.33937,2027.00008,0.92094,0.030284,835.630276,6.772497,4851.39,589.64054,1,26.5,104.325015,22.33703,177.720134,6.92865,56.662246,136.871529,27.601001,15,53.805244,0.93158,2.181602,0.826883,0.82058,2.685002,0.826883,10.30203,0.826883,61.999802,8769.999809,7.843301,209.285243,7.80535,24.650181,7.042202,148.968344,369.765024,15587.5,3.47025,0.826883,82.18045,1460.5,41900.00046,143.929637,0.826883,152.417491,0.709303,131.729838,123.696617,85.680132,4117.999883,462.949718,900,1239.654982,0.30596,0.833092,462.545441,17185.00004,1516.026836,367.421,154.520523,17.129561,2.95274,0.60489,4.825012,10.33597,19.175622,4510.000336,57.320271,2099.548223,3458.557978,8.039058,43.699859,15.391317,1025.000208,19.140998,4.375497,63.830264,17.130103,450.050104,36.400559,9.920125,131.770331,1.569795,0.385002,0.999733,3.792499,3.519756,54.769831,227.599797,4.37216,7325.443233,3.64098,4.594396,109.349927,69.915031,1073,3.758671,8.292016,13.293516,573.491881,10.400795,1.330115,1.377399,18910.00035,568.502227,31.805031,20697.98101,8.748134,2512.528258,17.129845,33.434505,10.192525,3.5,3.134032,2.353399,18.766895,6.785723,30.267014,2332.000212,36.743007,3707.172834,1,39.871055,11305.00026,1835385.123,23452,117.922721,2.710011,613.806881,0.042269,0.000535,2.70255,0.753834,618.999733,112.570266,250.289175,16.88015,9001.202605,18.290797,321.999592
1/10/23,3.6729,88.502559,109.150109,395.130029,1.803109,503.78967,180.36987,1.450747,1.8025,1.695747,1.822819,2.020075,105.105294,1.821221,0.377046,2062,1,1.331942,6.913682,5.199794,1.000485,5.73E-05,81.802329,12.77822,2.525327,19600,2.016804,1.343355,2014.999604,0.92244,0.029969,826.94973,6.778502,4785.5,589.336726,1,26.5,103.074989,22.32715,177.720091,6.92602,56.550246,136.534307,27.6733,15,53.849829,0.93122,2.183498,0.819483,0.822785,2.690127,0.819483,10.297124,0.819483,62.050255,8775.000292,7.848888,209.314246,7.80875,24.650301,7.042201,148.573133,371.319876,15535.9,3.467535,0.819483,81.63765,1460.5,41850.00021,144.059702,0.819483,152.355123,0.709398,132.106033,123.808119,85.679717,4118.00003,458.450494,899.903704,1241.160344,0.30591,0.833788,462.794512,17124.99987,1523.000247,367.693684,154.550058,16.99969,2.95274,0.60489,4.7899,10.216497,19.190258,4524.999885,57.312529,2101.106021,3451.386657,8.047663,43.710125,15.39912,1024.505713,19.06325,4.3725,63.82985,17.000304,450.079697,36.379846,9.98717,130.883689,1.569575,0.385001,1.000485,3.790499,3.525021,54.779795,228.49768,4.366353,7333.156249,3.641009,4.594802,109.320199,69.675006,1075,3.754715,8.278288,13.179403,572.502571,10.417898,1.331975,1.377397,19075.00043,569.494858,31.786501,20697.98101,8.754491,2511.85677,16.995007,33.460007,10.185189,3.51,3.093897,2.32975,18.78193,6.796772,30.447603,2332.000025,36.771193,3706.958819,1,39.901393,11304.99954,1854425.49,23450,117.333074,2.692676,611.347009,0.042343,0.000533,2.70255,0.747178,610.499522,111.497754,250.250282,16.91055,9001.205413,18.299633,321.999592
1/11/23,3.672898,89.495038,108.202797,395.960292,1.803178,503.779797,180.681679,1.447807,1.8,1.703293,1.820613,2.020144,104.335316,1.818399,0.37704,2063,1,1.332465,6.913561,5.159539,1.000484,5.57E-05,81.580236,12.743543,2.525478,19600,2.016811,1.34345,2028.499219,0.930899,0.029854,823.759724,6.770499,4732.5,585.709365,1,26.5,102.874985,22.327199,177.71995,6.909501,56.44998,136.52619,29.702464,15,53.85033,0.929011,2.181597,0.823078,0.822501,2.675025,0.823078,10.591069,0.823078,62.097721,8784.999841,7.847043,209.323541,7.81195,24.650202,7.042201,148.07823,370.185047,15432.3,3.435805,0.823078,81.63205,1461,41900.00027,143.33984,0.823078,153.004803,0.709299,131.975994,123.849583,85.680006,4117.999887,458.224953,900.069376,1242.35043,0.30589,0.833764,462.509425,17129.99973,1518.475482,366.689473,154.499915,16.899053,2.95274,0.60489,4.789849,10.209951,19.166923,4529.999799,57.184417,2101.153549,3451.387351,8.05252,44.298095,15.430785,1023.496458,18.954165,4.370977,63.829766,16.906597,451.597529,36.375051,9.99015,130.531068,1.570735,0.385032,1.000493,3.770497,3.519779,55.034998,228.502236,4.35425,7364.095022,3.640985,4.589802,109.045035,69.154029,1076,3.756073,8.281893,13.276281,575.500379,10.462403,1.330471,1.377401,19075.00033,568.502819,31.626031,20697.98101,8.754782,2512.501268,16.893234,33.376499,10.235416,3.5,3.092399,2.33355,18.77936,6.791153,30.446596,2331.99991,36.764763,3689.947592,1,39.861487,11325.00018,1857256.779,23445,116.89214,2.682317,610.618571,0.042666,0.000533,2.70255,0.745916,609.496685,111.529466,250.297757,16.926535,9001.202368,18.334683,321.999592
1/12/23,3.672969,88.999607,107.502153,396.309875,1.802174,503.760139,180.973332,1.43533,1.8025,1.704375,1.817365,2.019049,104.18714,1.802852,0.377018,2061,1,1.329493,6.909839,5.10895,1,5.30E-05,81.542464,12.69002,2.52409,19600,2.01561,1.33758,2030.000032,0.927397,0.029663,818.498444,6.738798,4696.76,579.511243,1,26.5,102.040191,22.136796,177.72041,6.84933,56.649904,136.453969,29.548903,15,53.896429,0.92083,2.172098,0.824517,0.818475,2.679424,0.824517,11.000171,0.824517,62.099045,8774.99935,7.84278,209.208326,7.80875,24.650227,7.042203,148.495633,365.980354,15205.6,3.42185,0.824517,81.11585,1461,41850.00018,142.089951,0.824517,153.016168,0.709598,129.099504,123.902537,85.680004,4119.000284,455.791301,899.987694,1239.454959,0.30541,0.833302,462.130997,17125.0001,1469.572027,367.506946,154.650261,16.814994,2.95274,0.60489,4.784982,10.162979,19.149685,4500.000248,56.711864,2100.039214,3451.15028,8.043022,44.549841,15.409699,1020.49945,18.847203,4.358966,63.830081,16.81499,452.129756,36.330188,9.888515,130.474376,1.565575,0.385021,0.999907,3.77375,3.525021,55.034974,228.500156,4.325783,7379.576287,3.640964,4.551501,108.094972,67.785002,1075,3.757773,8.296205,13.417028,575.497816,10.40858,1.32252,1.3774,19074.99981,569.499915,31.603567,20697.98101,8.749303,2511.999065,16.814996,33.101933,10.224584,3.5,3.067502,2.33305,18.782398,6.790002,30.3405,2332.000109,36.75076,3684.944108,1,39.80394,11325.00007,1876710.831,23443,117.011172,2.68129,609.503677,0.042007,0.000527,2.70255,0.74539,608.999894,110.944975,250.298331,16.72404,9001.177334,18.324645,321.999592
1/13/23,3.67303,88.503991,106.850403,396.560403,1.80239,503.760403,180.950915,1.432254,1.8,1.70397,1.809019,2.019295,104.197684,1.805604,0.376273,2063,1,1.323257,6.910519,5.096041,1.000074,5.02E-05,81.346012,12.675189,2.524245,19600,2.015872,1.34005,2029.50392,0.927404,0.029627,817.510396,6.703041,4687.28,578.973657,1,26.5,102.320394,22.154704,177.720394,6.867904,56.750393,136.219754,29.499931,15,53.803876,0.92185,2.19904,0.821013,0.817595,2.660391,0.821013,12.25039,0.821013,62.17504,8780.000355,7.850708,209.227468,7.82115,24.640389,7.042204,148.510804,366.103833,15114.75,3.415904,0.821013,81.28505,1460,42225.00035,142.440386,0.821013,152.835948,0.709304,127.89504,123.950385,85.680385,4119.000351,454.825039,899.949882,1237.685039,0.30509,0.833395,462.189499,17035.00035,1513.852395,366.027176,154.875039,16.820382,2.95274,0.60489,4.785039,10.085504,19.116379,4480.000347,56.908576,2100.155579,3451.252049,8.046563,43.630379,15.403741,1020.503739,18.767104,4.335039,63.830377,16.820377,452.590377,36.403725,9.904855,130.153914,1.565681,0.38501,1.000074,3.809504,3.520375,54.814039,229.000342,4.331375,7395.478763,3.641038,4.565404,108.327564,69.000341,1075,3.753663,8.299327,13.427663,582.00034,10.403604,1.318904,1.377404,19100.00034,568.503664,31.736504,20697.98101,8.751069,2512.508984,16.82037,32.820369,10.235869,3.51,3.071504,2.324904,18.801504,6.791845,30.294404,2336.000335,36.747725,3670.26787,1,39.807792,11325.00033,1900670.106,23440,116.93185,2.687883,606.738382,0.041205,0.000521,2.70255,0.743951,604.503597,110.625037,250.303593,16.80953,9001.203589,18.376406,321.999592
1/15/23,3.67303,89.72669,106.770521,394.672074,1.796193,503.760367,181.346254,1.434105,1.8,1.702706,1.802858,2.012352,103.839425,1.804988,0.376273,2066.525326,1,1.318708,6.886759,5.087701,0.996635,4.79E-05,81.066323,12.631608,2.515647,19600,2.008941,1.339715,2029.501114,0.92677,0.029627,818.337466,6.702903,4670.783979,576.982993,1,26.5,101.64078,22.148988,177.425451,6.87266,56.499055,136.451945,29.564655,15,53.444992,0.92385,2.174903,0.817616,0.817955,2.659795,0.817616,11.959626,0.817616,62.175035,8586.993594,7.82357,208.508089,7.811145,24.589575,7.042201,148.000184,366.379701,15114.85,3.41525,0.817616,81.285499,1454.606628,42225.00012,142.439913,0.817616,152.310458,0.709296,128.030992,123.433286,85.680058,4102.133936,454.824972,900.000025,1237.690177,0.30509,0.83053,460.598239,16814.21395,1506.936443,364.768678,154.875021,16.820243,2.95274,0.604889,4.768954,10.055584,19.050652,4497.32221,56.71291,2092.934691,3463.592317,8.018897,43.697777,15.396617,1023.654883,18.779101,4.334984,63.829785,16.819967,452.590109,36.387519,9.87366,129.706411,1.566335,0.38501,0.996635,3.767065,3.51173,54.925,228.030235,4.335903,7370.051159,3.641001,4.565298,108.180854,65.999714,1069.521132,3.755803,8.299327,13.427663,582.000118,10.36775,1.319702,1.377397,19100.00016,568.500127,31.736503,20697.98101,8.721021,2512.028398,16.836982,32.893497,10.200581,3.51,3.071501,2.324899,18.788955,6.768493,30.294297,2328.137531,36.621376,3657.648523,1,39.670922,11279.04319,1923572.173,23440,115.580114,2.672384,604.652256,0.041174,0.000522,2.70255,0.741393,604.652256,110.624963,250.299446,16.815006,9001.200704,18.313223,321.999592
1/16/23,3.673097,90.0375,107.53145,396.802428,1.80232,503.770131,182.178325,1.435534,1.8,1.696759,1.806504,2.019249,103.963848,1.8071,0.377012,2073.725823,1,1.320267,6.910295,5.1475,1.000037,4.72E-05,81.713003,12.739364,2.524153,19600,2.015776,1.33993,2029.502245,0.925595,0.029815,822.680128,6.733605,4689.88,570.95487,1,26.5,101.846378,22.163033,177.720363,6.868201,56.581937,136.44015,29.645698,15,53.631149,0.92338,2.172099,0.817625,0.819215,2.660253,0.817625,12.000443,0.817625,62.175035,8616.278425,7.850295,209.231224,7.810545,24.672566,7.042198,148.005837,368.280065,15107,3.40905,0.817625,81.65285,1459.553322,42225,142.659833,0.817625,152.920584,0.709304,128.323993,123.9159,85.679866,4105.166904,454.825042,900,1241.709918,0.30534,0.83341,463.469603,16868.63835,1512.293795,366.013615,154.875054,16.819964,2.95274,0.60489,4.758465,10.131158,19.040696,4477.416733,56.928372,2100.077771,3464.97311,8.045462,43.689847,15.395433,1021.648532,18.78145,4.315978,63.829979,16.819757,452.620168,36.542494,9.907229,130.740953,1.565155,0.384979,1.000037,3.81266,3.524375,54.590361,228.883491,4.33329,7403.339922,3.641023,4.554401,108.404968,68.750163,1070.539227,3.756013,8.299327,13.699048,582.000296,10.413401,1.32014,1.377399,19099.9999,568.498186,31.674984,20697.98101,8.75067,2511.90698,17.105647,33.029806,10.210408,3.51,3.071498,2.32595,18.78783,6.791702,30.343987,2331.999829,36.746347,3675.114995,1,39.661574,11342.56369,1923545.324,23439,115.580109,2.672384,605.875344,0.041157,0.000521,2.70255,0.741692,605.875344,110.624981,250.264817,17.05796,9001.200308,18.425637,321.999592
1/17/23,3.67295,89.56157,107.850025,396.840217,1.803835,503.561202,182.501762,1.431311,1.8025,1.689175,1.807189,2.020873,103.941159,1.813024,0.377068,2061,1,1.323724,6.916023,5.1009,1.000873,4.73E-05,81.832117,12.750255,2.526311,19600,2.017454,1.33945,2030.000084,0.92213,0.029542,815.150046,6.773901,4721.2,571.427251,1,26.5,102.849726,22.207101,177.719743,6.896199,56.404736,136.120936,29.580403,15,53.650194,0.92701,2.16785,0.819144,0.814205,2.675007,0.819144,12.249771,0.819144,62.311502,8775.000007,7.854377,209.397089,7.8182,24.634971,7.042196,148.12936,367.798309,15179.85,3.403601,0.819144,81.52665,1461,41849.99999,143.230415,0.819144,152.783553,0.7093,128.280499,124.050036,85.679818,4120.000109,456.502424,899.952888,1237.349923,0.30526,0.834099,464.436847,16849.9998,1516.288985,367.82272,155.349908,17.080232,2.95274,0.60489,4.764985,10.174502,19.01641,4359.999818,57.093746,2101.843575,3453.909226,8.063424,44.29878,15.402706,1020.500203,18.657398,4.326502,63.830293,17.08016,453.580506,36.360104,9.88801,130.931536,1.555097,0.385023,1.000873,3.8275,3.525004,54.664981,228.724968,4.356414,7397.089397,3.641043,4.573701,108.789957,68.489175,1074,3.758574,8.265027,13.79029,581.999923,10.430401,1.320525,1.377402,19149.99957,569.499783,31.749707,20697.98101,8.757276,2511.994346,17.080037,32.999878,10.223413,3.5,3.0575,2.327598,18.7776,6.797197,30.2905,2331.999632,36.783213,3683.235467,1,39.69508,11319.99977,1923490.794,23432,116.559535,2.681728,606.104874,0.041755,0.000524,2.70255,0.74225,605.49558,111.025036,250.249982,17.0695,9001.208699,18.496011,321.999592
